dolphin_id,dolphin_id,,dolphin_id_old_key,dolphin_id,dryad_id
378,LIC,,499,PIR,D1304
487,PEG,,582,SCT,D1305
421,MOU,,87,BSC,D1306
173,DID,,354,KIY,D1307
409,MIN,,624,SRY,D1308
287,HII,,554,RHO,D1309
39,BAR,,464,NUM,D1310
550,REA,,500,PIX,D1311
56,BIG,,3,ACF,D1312
232,FRE,,373,LBL,D1313
509,POI,,57,BIN,D1314
696,WAB,,347,KAI,D1315
519,PRI,,221,FIG,D1316
446,NAT,,249,GDO,D1317
557,RID,,66,BLN,D1318
274,GUM,,84,BRK,D1319
620,SPO,,720,WOF,D1320
353,KIT,,452,NEV,D1321
531,PUC,,594,SKE,D1322
368,LAN,,244,GAF,D1323
494,PIC,,372,LAY,D1324
378,LIC,,40,BAS,D1325
587,SHC,,498,PIN,D1326
454,NIC,,469,OLI,D1327
531,PUC,,389,LOT,D1328
219,FEA,,349,KEA,D1329
609,SMO,,312,JAB,D1330
368,LAN,,277,HAM,D1331
284,HHD,,385,LNS,D1332
278,HAR,,258,GLX,D1333
587,SHC,,230,FOO,D1334
324,JFR,,279,HAT,D1335
595,SKF,,391,LUG,D1336
630,SUR,,392,LYN,D1337
353,KIT,,639,TAS,D1338
512,POO,,352,KIR,D1339
484,PCT,,310,IRO,D1340
214,FAR,,648,THR,D1341
462,NOO,,394,MAG,D1342
338,JOY,,569,RSP,D1343
378,LIC,,631,SVD,D1344
487,PEG,,271,GRV,D1345
494,PIC,,555,RHY,D1346
512,POO,,643,TBA,D1347
284,HHD,,113,CHC,D1348
484,PCT,,357,KNG,D1349
199,EDG,,439,MUT,D1350
41,BAY,,715,WLB,D1351
131,COD,,492,PHD,D1352
342,JUD,,590,SHO,D1353
737,ZIP,,5,AGA,D1354
223,FLI,,27,ART,D1355
63,BLI,,708,WHL,D1356
169,DEB,,605,SLV,D1357
672,TYP,,49,BEE,D1358
135,COM,,344,JUM,D1359
326,JIM,,616,SPC,D1360
611,SMU,,14,AMO,D1361
670,TWI,,361,KRI,D1362
286,HIC,,181,DOD,D1363
600,SLD,,104,CAD,D1364
637,TAL,,491,PHA,D1365
634,SYL,,619,SPN,D1366
353,KIT,,598,SKT,D1367
171,DEM,,627,STI,D1368
588,SHK,,148,CSK,D1369
143,CRC,,116,CHL,D1370
436,MUN,,633,SWE,D1371
511,PON,,690,VIP,D1372
537,QUA,,416,MNN,D1373
407,MID,,152,CUR,D1374
179,DNG,,418,MNV,D1375
481,PAS,,551,REG,D1376
324,JFR,,493,PHO,D1377
324,JFR,,112,CHA,D1378
630,SUR,,337,JOK,D1379
421,MOU,,427,MRY,D1380
494,PIC,,480,PAB,D1381
278,HAR,,93,BUI,D1382
192,DUN,,488,PEZ,D1383
719,WNG,,45,BDC,D1384
704,WED,,68,BLV,D1385
587,SHC,,247,GDF,D1386
617,SPE,,549,RDG,D1387
102,BYT,,299,HRV,D1388
454,NIC,,250,GEG,D1389
609,SMO,,46,BDE,D1390
368,LAN,,640,TAU,D1391
577,SBO,,190,DSP,D1392
288,HKI,,144,CRM,D1393
173,DID,,2,ABC,D1394
371,LAU,,691,VIX,D1395
287,HII,,231,FRA,D1396
550,REA,,156,CYA,D1397
509,POI,,7,ALA,D1398
240,FUF,,538,QUO,D1399
595,SKF,,447,NCK,D1400
531,PUC,,358,KOA,D1401
454,NIC,,657,TOR,D1402
511,PON,,47,BDT,D1403
324,JFR,,118,CHS,D1404
587,SHC,,375,LEN,D1405
531,PUC,,636,TAI,D1406
338,JOY,,51,BES,D1407
436,MUN,,62,BLE,D1408
463,NUD,,120,CII,D1409
719,WNG,,662,TSE,D1410
192,DUN,,735,ZEP,D1411
306,IMP,,73,BMT,D1412
59,BJA,,359,KOK,D1413
704,WED,,660,TRN,D1414
595,SKF,,736,ZIL,D1415
284,HHD,,345,JUP,D1416
171,DEM,,466,NYM,D1417
512,POO,,625,SSH,D1418
462,NOO,,405,MGG,D1419
41,BAY,,514,POU,D1420
102,BYT,,532,PUH,D1421
287,HII,,379,LIF,D1422
550,REA,,507,PNN,D1423
509,POI,,81,BPE,D1424
240,FUF,,592,SIS,D1425
461,NOG,,641,TAW,D1426
419,MOG,,546,RBD,D1427
481,PAS,,233,FRG,D1428
537,QUA,,673,UDG,D1429
407,MID,,706,WES,D1430
